利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	74.25亿	70.17亿	57.95亿	45.43亿	35.89亿
    营业收入	74.25亿	70.17亿	57.95亿	45.43亿	35.89亿
营业总成本	59.11亿	53.89亿	44.59亿	35.90亿	29.45亿
    营业成本	34.51亿	32.51亿	24.74亿	19.00亿	15.60亿
    研发费用	2.934亿	2.331亿	--	--	--
    营业税金及附加	7057万	6664万	6752万	4655万	3930万
    销售费用	19.10亿	16.78亿	15.45亿	13.53亿	11.15亿
    管理费用	2.724亿	2.478亿	4.492亿	3.543亿	2.678亿
    财务费用	-1.013亿	-9188万	-7864万	-6596万	-4324万
    资产减值损失	1506万	503.6万	179.0万	136.2万	687.5万
其他经营收益					
    加:投资收益	8801万	145.3万	-186.0万	--	--
        其中:对联营企业和合营企业的投资收益	--	31.99万	-1859.61	--	--
营业利润	17.02亿	16.90亿	13.35亿	9.530亿	6.436亿
    加:营业外收入	237.6万	410.1万	7096万	1732万	2338万
    其中:非流动资产处置利得	--	--	62.57万	2.133万	15.31万
    减:营业外支出	160.7万	146.0万	133.0万	154.2万	285.1万
    其中:非流动资产处置净损失	--	784.70	12.52万	2.834万	14.50万
利润总额	17.02亿	16.93亿	14.04亿	9.688亿	6.641亿
    减:所得税费用	2.185亿	2.315亿	1.974亿	1.409亿	9642万
净利润	14.84亿	14.61亿	12.07亿	8.280亿	5.677亿
    其中:归属于母公司股东的净利润	14.74亿	14.61亿	12.07亿	8.305亿	5.744亿
    少数股东损益	1027万	-1.938万	-1.950万	-254.1万	-670.9万
    扣除非经常性损益后的净利润	13.91亿	14.06亿	11.47亿	8.174亿	5.572亿
每股收益					
    基本每股收益	1.55	1.54	1.28	1.15	1.19
    稀释每股收益	1.55	1.54	1.27	1.14	1.16
综合收益总额	14.84亿	14.61亿	12.07亿	8.280亿	5.677亿
    归属于母公司所有者的综合收益总额	14.74亿	14.61亿	12.07亿	8.305亿	5.744亿
    归属于少数股东的综合收益总额	1027万	-1.938万	-1.950万	-254.1万	-670.9万
