利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	52.61亿	41.79亿	34.67亿	28.59亿	27.14亿
    营业收入	52.61亿	41.79亿	34.67亿	28.59亿	27.14亿
营业总成本	47.88亿	37.70亿	30.76亿	24.86亿	24.17亿
    营业成本	25.17亿	19.15亿	14.72亿	11.07亿	11.21亿
    研发费用	6944万	5252万	--	--	--
    营业税金及附加	5970万	7146万	3945万	2811万	2186万
    销售费用	15.76亿	13.18亿	11.76亿	10.21亿	9.712亿
    管理费用	4.753亿	3.441亿	3.158亿	2.858亿	2.753亿
    财务费用	8536万	6185万	6830万	4048万	2077万
    资产减值损失	535.2万	704.9万	475.3万	334.9万	707.6万
其他经营收益					
    加:投资收益	1860万	1197万	165.7万	-51.69万	-47.88万
营业利润	5.367亿	4.459亿	3.912亿	3.723亿	2.962亿
    加:营业外收入	798.7万	170.9万	852.4万	1090万	1402万
    其中:非流动资产处置利得	--	--	37.41万	22.30万	13.59万
    减:营业外支出	572.6万	77.86万	276.5万	593.6万	195.9万
    其中:非流动资产处置净损失	--	--	121.3万	345.1万	57.42万
利润总额	5.390亿	4.469亿	3.970亿	3.772亿	3.083亿
    减:所得税费用	9364万	8151万	6616万	7663万	7472万
净利润	4.453亿	3.654亿	3.308亿	3.006亿	2.336亿
    其中:归属于母公司股东的净利润	4.512亿	3.654亿	3.308亿	3.006亿	2.336亿
    少数股东损益	-588.5万	--	--	--	--
    扣除非经常性损益后的净利润	3.954亿	3.325亿	3.257亿	2.970亿	2.219亿
每股收益					
    基本每股收益	0.25	0.24	0.22	0.46	0.36
    稀释每股收益	0.25	0.24	0.22	0.46	0.36
其他综合收益	2703万	-3657万	2316万	941.1万	-103.2万
    归属于母公司股东的其他综合收益	2550万	-3657万	2316万	941.1万	-103.2万
    归属于少数股东的其他综合收益	152.9万	--	--	--	--
综合收益总额	4.724亿	3.288亿	3.540亿	3.100亿	2.325亿
    归属于母公司所有者的综合收益总额	4.767亿	3.288亿	3.540亿	3.100亿	2.325亿
    归属于少数股东的综合收益总额	-435.7万	--	--	--	--
