利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	76.02亿	56.87亿	45.99亿	35.19亿	36.38亿
    营业收入	76.02亿	56.87亿	45.99亿	35.19亿	36.38亿
营业总成本	68.95亿	52.57亿	43.41亿	34.22亿	34.69亿
    营业成本	58.44亿	44.13亿	36.54亿	27.92亿	28.49亿
    研发费用	3.467亿	2.930亿	--	--	--
    营业税金及附加	7148万	5180万	3601万	2307万	1788万
    销售费用	1.570亿	1.132亿	8868万	9869万	7746万
    管理费用	3.254亿	2.592亿	4.327亿	4.095亿	4.312亿
    财务费用	5741万	1.070亿	9456万	8659万	7876万
    资产减值损失	9285万	2030万	3434万	1204万	1412万
其他经营收益					
    加:公允价值变动收益	--	--	--	210.5万	-210.5万
        投资收益	1150万	-22.31万	-21.15万	-221.9万	6.011万
        其中:对联营企业和合营企业的投资收益	-22.42万	-22.31万	-21.15万	-12.64万	-21.35万
营业利润	7.839亿	5.017亿	2.516亿	9662万	1.674亿
    加:营业外收入	136.9万	315.2万	5313万	7727万	4106万
    其中:非流动资产处置利得	--	--	104.8万	25.03万	1.976万
    减:营业外支出	770.5万	45.60万	5.814万	97.67万	147.6万
    其中:非流动资产处置净损失	--	--	702.6万	61.11万	70.50万
利润总额	7.775亿	5.044亿	3.047亿	1.729亿	2.069亿
    减:所得税费用	7923万	5554万	3019万	1537万	2163万
净利润	6.983亿	4.488亿	2.745亿	1.575亿	1.853亿
    其中:归属于母公司股东的净利润	6.973亿	4.481亿	2.742亿	1.617亿	1.907亿
    少数股东损益	106.4万	73.35万	29.71万	-415.3万	-542.3万
    扣除非经常性损益后的净利润	6.473亿	3.815亿	2.351亿	1.002亿	1.571亿
每股收益					
    基本每股收益	2.49	2.13	1.31	0.77	0.91
    稀释每股收益	2.49	2.13	1.31	0.77	0.91
其他综合收益	21.44万	-24.88万	11.14万	7.583万	9.206万
    归属于母公司股东的其他综合收益	20.84万	-24.26万	12.79万	--	--
    归属于少数股东的其他综合收益	5987.17	-6179.34	-1.656万	--	--
综合收益总额	6.985亿	4.486亿	2.746亿	1.576亿	1.854亿
    归属于母公司所有者的综合收益总额	6.975亿	4.478亿	2.743亿	1.617亿	1.908亿
    归属于少数股东的综合收益总额	107.0万	72.73万	28.05万	-411.6万	-537.8万
