利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	63.56亿	45.38亿	34.68亿	27.69亿	16.69亿
    营业收入	63.56亿	45.38亿	34.68亿	27.69亿	16.69亿
营业总成本	50.45亿	33.96亿	26.01亿	20.93亿	11.53亿
    营业成本	17.32亿	14.87亿	13.54亿	12.37亿	6.083亿
    研发费用	3.762亿	2.347亿	--	--	--
    营业税金及附加	9512万	6862万	4862万	3072万	2074万
    销售费用	18.69亿	10.62亿	6.381亿	4.322亿	3.413亿
    管理费用	5.286亿	3.783亿	4.765亿	3.473亿	1.804亿
    财务费用	2.259亿	1.072亿	5742万	2949万	-1052万
    资产减值损失	2.187亿	5823万	2654万	1683万	1314万
其他经营收益					
    加:投资收益	1.310亿	-802.9万	-221.2万	880.7万	159.3万
        其中:对联营企业和合营企业的投资收益	-2149万	-1253万	-192.9万	880.7万	159.3万
营业利润	14.42亿	11.56亿	8.671亿	6.840亿	5.169亿
    加:营业外收入	4205万	4437万	2705万	2126万	2060万
    其中:非流动资产处置利得	--	--	548.5万	40.93万	10.83万
    减:营业外支出	1058万	460.7万	316.9万	435.6万	82.71万
    其中:非流动资产处置净损失	--	--	224.3万	311.3万	33.55万
利润总额	14.74亿	11.95亿	8.910亿	7.009亿	5.366亿
    减:所得税费用	2.190亿	2.018亿	1.443亿	1.049亿	8440万
净利润	12.55亿	9.937亿	7.467亿	5.960亿	4.522亿
    其中:归属于母公司股东的净利润	12.19亿	8.991亿	6.793亿	5.209亿	4.232亿
    少数股东损益	3618万	9459万	6745万	7510万	2904万
    扣除非经常性损益后的净利润	10.50亿	8.530亿	6.633亿	5.091亿	4.069亿
每股收益					
    基本每股收益	0.68	0.51	0.39	0.32	0.52
    稀释每股收益	0.68	0.51	0.39	0.32	0.52
其他综合收益	9779万	1.791亿	8554万	-183.1万	-264.2万
    归属于母公司股东的其他综合收益	8926万	1.708亿	8486万	-128.7万	-264.2万
    归属于少数股东的其他综合收益	853.4万	836.2万	68.50万	-54.34万	--
综合收益总额	13.53亿	11.73亿	8.323亿	5.942亿	4.496亿
    归属于母公司所有者的综合收益总额	13.08亿	10.70亿	7.641亿	5.196亿	4.206亿
    归属于少数股东的综合收益总额	4471万	1.030亿	6814万	7456万	2904万
