利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	54.97亿	46.27亿	37.90亿	33.77亿	32.92亿
    营业收入	54.97亿	46.27亿	37.90亿	33.77亿	32.92亿
营业总成本	49.08亿	44.12亿	36.67亿	34.18亿	33.24亿
    营业成本	42.10亿	37.97亿	31.96亿	29.81亿	28.89亿
    研发费用	2.427亿	1.895亿	--	--	--
    营业税金及附加	5377万	2458万	2136万	747.0万	1454万
    销售费用	2.026亿	1.883亿	1.563亿	1.507亿	1.613亿
    管理费用	1.178亿	1.007亿	2.392亿	2.125亿	2.265亿
    财务费用	955.2万	2870万	-34.18万	3124万	239.6万
    资产减值损失	7127万	8338万	5418万	3470万	3078万
其他经营收益					
    加:公允价值变动收益	69.47万	-260.1万	142.9万	117.2万	--
        投资收益	1908万	1359万	109.6万	508.5万	560.8万
        其中:对联营企业和合营企业的投资收益	707.6万	148.7万	--	--	--
营业利润	6.706亿	2.897亿	203.6万	-3451万	-2700万
    加:营业外收入	65.71万	91.61万	1.952亿	5923万	4094万
    其中:非流动资产处置利得	--	--	--	20.84万	32.13万
    减:营业外支出	223.4万	90.33万	1061万	745.2万	1865万
    其中:非流动资产处置净损失	--	--	1.332亿	473.1万	1772万
利润总额	6.690亿	2.897亿	1.867亿	1727万	-471.1万
    减:所得税费用	9858万	8621万	5617万	1173万	739.8万
净利润	5.704亿	2.035亿	1.305亿	553.8万	-1211万
    其中:归属于母公司股东的净利润	5.704亿	2.035亿	1.305亿	553.8万	-1211万
    扣除非经常性损益后的净利润	5.171亿	1.450亿	7868万	-3752万	-3119万
每股收益					
    基本每股收益	0.34	0.12	0.08	0.00	-0.01
    稀释每股收益	0.34	0.12	0.08	--	--
其他综合收益	41.68万	119.7万	672.3万	10.60万	-677.6万
    归属于母公司股东的其他综合收益	41.68万	119.7万	672.3万	10.60万	-677.6万
综合收益总额	5.709亿	2.047亿	1.372亿	564.4万	-1889万
    归属于母公司所有者的综合收益总额	5.709亿	2.047亿	1.372亿	564.4万	-1889万
